,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
59,825,Fayette,2010,11249,Second Chance Animal Rescue,Vandalia,62471,Animal Shelter,50,120,0,0,0,0,170,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,170,0,0,826,Fayette,2011,Second Chance Animal Rescue,Vandalia,62471,Animal Shelter,40,200,0,0,0,0,247,240,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,247,240,0,0
60,835,Franklin,2010,4486,Franklin County Dog Pound,Benton,62812,Animal Control,0,0,0,0,0,0,1253,517,72,664,0,0,1265,380,16,869,0,0,4,0,0,4,0,2522,897,88,1537,834,Franklin,2011,Franklin County Animal Control,Benton,62812,Animal Control,0,0,0,0,0,0,1128,120,160,550,0,0,396,12,8,132,0,0,0,0,0,4,0,1524,132,168,686
61,844,Fulton,2010,189,Fulton County Animal Control,Canton,61520,Animal Shelter,0,0,0,0,0,0,574,432,137,0,0,0,458,447,14,33,0,0,0,0,0,0,0,1032,879,151,33,845,Fulton,2011,Fulton County Animal Control,Canton,61520,Animal Control,0,0,0,0,0,0,526,433,89,8,0,0,372,443,3,5,0,0,0,0,0,0,0,898,876,92,13
62,847,Fulton,2010,9650,Humane Society of Fulton County,Canton,61520,Animal Shelter,0,0,0,0,0,0,574,432,137,24,0,0,458,447,14,33,0,0,0,0,0,0,0,1032,879,151,57,848,Fulton,2011,Humane Society of Fulton County,Canton,61520,Animal Shelter,0,0,0,0,0,19,521,433,89,7,11,85,372,443,3,5,6,0,0,0,0,0,0,893,876,92,12
63,859,Greene,2010,12195,Ghrist Vet Clinic--Carrollton Branch,Carrollton,62016,Animal Control,0,0,0,0,0,0,200,48,23,129,0,0,98,2,1,95,0,0,0,0,0,0,0,298,50,24,224,860,Greene,2011,Ghrist Vet Clinic--Carrollton Branch,Carrollton,62016,Animal Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,864,Greene,2010,7375,Roodhouse Animal Control,Roodhouse,62082,Animal Control,0,0,0,0,0,0,21,0,19,0,0,0,24,0,0,0,0,0,0,0,0,0,0,45,0,19,0,863,Greene,2011,Roodhouse Animal Control,Roodhouse,62082,Animal Control,0,0,0,0,0,0,20,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,6,0
65,866,Greene,2010,8675,The Dog P.E.N.,Roodhouse,62082,Animal Shelter,139,12,43,29,0,0,161,153,0,0,0,0,81,72,0,0,0,0,0,0,0,0,0,242,225,0,0,867,Greene,2011,The Dog P.E.N.,Roodhouse,62082,Animal Shelter,36,4,158,40,0,9,41,40,0,0,10,4,199,198,0,0,1,0,0,0,0,0,0,240,238,0,0
66,869,Greene,2010,8432,White Hall Animal Control,White Hall,62092,Animal Control,0,0,0,0,0,0,19,1,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,12,6,870,Greene,2011,White Hall Animal Control,White Hall,62092,Animal Control,0,0,0,0,0,0,48,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,27,21,0
67,879,Grundy,2010,14078,Forever Friends Great Dane Rescue Inc.,Verona,60479,Animal Shelter,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,880,Grundy,2011,Forever Friends Great Dane Rescue Inc.,Verona,60479,0,0,0,0,0,0,5,0,36,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
68,882,Grundy,2010,3700,Grundy County Animal Control,Morris,60450,Animal Control,0,0,0,0,0,0,299,87,130,70,0,0,359,15,8,267,0,0,0,0,0,0,0,658,102,138,337,883,Grundy,2011,Grundy County Animal Control,Morris,60450,Animal Control,0,0,0,0,0,0,268,85,117,62,22,0,299,109,3,192,23,0,2,0,0,0,2,569,194,120,254
69,885,Grundy,2010,7683,Gundy County Humane Society,Coal City,60416,Animal Shelter,0,0,0,0,0,0,63,57,1,0,0,0,19,12,0,4,0,0,0,0,0,0,0,82,69,1,4,886,Grundy,2011,Gundy County Humane Society,Coal City,60416,Animal Shelter,0,0,0,0,0,1,23,22,0,1,1,2,2,2,0,0,2,0,0,0,0,0,0,25,24,0,1
70,888,Grundy,2010,8514,Just Animals Placement Service,Mazon,60444,Animal Shelter,85,47,142,161,0,0,99,132,3,3,0,0,212,303,2,7,0,0,0,0,0,0,0,311,435,5,10,889,Grundy,2011,Just Animals Placement Service,Mazon,60444,Animal Shelter,32,36,87,262,0,16,64,68,5,1,12,53,327,349,3,2,31,0,0,0,0,0,0,391,417,8,3
71,901,Hamilton,2010,5801,City of Mcleansboro,Mcleansboro,62859,Animal Control,0,0,0,0,0,0,45,32,13,0,0,0,14,14,0,0,0,0,0,0,0,0,0,59,46,13,0,902,Hamilton,2011,City of Mcleansboro,Mcleansboro,62859,Animal Control,0,0,0,0,0,0,13,0,12,1,0,0,2,0,2,0,0,0,2,1,1,0,0,17,1,15,1
