index,County,Year,ShelterID,BusName,City,Zip,License Type,DogSold,PupSold,CatSold,KitSold,ExoticSold,BegInvDog,DogRec,DogAdopt,DogReclaim,DogEuth,EndInvDogs,BegInvCat,CatRec,CatsAdopt,CatsReclaim,CatEuth,EndInvCats,BegInvOther,OtherRec,OtherAdopt,OtherReclaim,OtherEuth,EndInvOther,AllRec,AllAdopt,AllReclaim,AllEuth
549,Cumberland,2012,6512,Cumberland County Pound,Toledo,62468,Animal Control,0,0,0,0,0,0,151,72,60,19,0,0,0,0,0,0,0,0,0,0,0,0,0,151,72,60,19
550,Clark,2012,6577,Bender's Townhouse Kennels,West Union,62477,Animal Control,0,0,0,0,0,0,248,145,53,37,13,0,0,0,0,0,0,0,0,0,0,0,0,248,145,53,37
551,Madison,2012,6613,Metro East Humane Society,Edwardsville,62025,Animal Shelter,395,104,140,157,0,23,499,452,0,54,16,54,243,297,0,28,28,0,1,0,0,1,0,743,749,0,83
552,Randolph,2012,6713,Chester City Pound,Chester,62233,Animal Control,0,0,0,0,0,5,198,0,83,0,4,0,0,0,0,0,0,0,0,0,0,0,0,198,0,83,0
553,Pope,2012,6793,Pope County Animal Pound,Golconda,62938,Animal Control,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554,Pulaski,2012,6935,Mound City Animal Pound,Mound City,62963,Animal Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,Randolph,2012,6969,Randolph County Animal Control,Sparta,62286,Animal Control,0,0,0,0,0,0,150,83,29,38,0,0,35,18,3,14,0,0,0,0,0,0,0,185,101,32,52
556,White,2012,7123,Grayville City Dog Pound,Grayville,62844,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
557,Boone,2012,7126,Roscoe Animal Retreat,Roscoe,61073,Animal Shelter,0,0,0,0,0,25,12,10,2,0,15,250,25,24,1,0,250,0,0,0,0,0,0,37,34,3,0
558,Pulaski,2012,7146,City of Mounds,Mounds,62964,Animal Control,0,0,0,0,0,0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17
559,Shelby,2012,7147,Village of Tower Hill,Tower Hill,62571,Animal Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
560,Randolph,2012,7376,Evansville Dog Pound,Evansville,62242,Animal Control,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
561,Wayne,2012,7575,Wayne County Humane Society,Fairfield,62837,Animal Shelter,0,0,0,0,0,28,573,369,81,122,29,13,561,217,10,333,14,13,0,12,1,0,0,1134,598,92,455
562,Whiteside,2012,7583,Whiteside County Pound,Rock Falls,61071,Animal Control,0,0,0,0,0,0,393,23,217,125,0,0,182,2,12,146,0,0,0,0,0,0,0,575,25,229,271
563,Randolph,2012,7619,Tilden Animal Control,Tilden,62292,Animal Control,0,0,0,0,0,0,7,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8,0,8,0
